STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
 Haryana,2014,25,76.64%,44212,733,441,386,423,292,131,52,244,2786,6558,3735,2823,699,534,1089,95,4194,251,403,981,16109,39096,82055
 Himachal Pradesh,2014,7,82.80%,55673,110,77,153,123,99,24,1,25,766,643,192,451,562,97,174,112,1421,8,284,469,7015,12326,25132
 Jammu and Kashmir,2014,12,68.74%,42241,816,1112,218,735,632,103,28,129,1420,1939,573,1366,1116,105,414,320,334,9,990,422,10677,21191,44649
 Jharkhand,2014,33,66.41%,79716,1488,1143,797,468,178,290,580,780,1419,4374,560,3814,2281,333,441,167,2294,275,411,416,12969,31439,66917
 Karnataka,2014,61,75.60%,191791,1519,1387,291,592,286,306,177,1024,6093,16093,5185,10908,6237,423,2759,248,21232,259,1435,277,52518,114440,243689
 Kerala,2014,33,93.91%,38863,417,391,480,232,142,90,129,639,4580,5240,1717,3523,6461,336,3755,374,20610,31,2260,42,54106,104025,209580
 Madhya Pradesh,2014,72,70.63%,308252,2379,2563,2875,832,584,248,147,1526,12308,22586,6148,16438,2479,548,1287,893,33285,751,6690,4209,96911,196867,412554
 Maharashtra,2014,112,82.91%,307713,2696,1463,1388,1045,787,258,629,2229,14659,43952,11307,32645,5980,1528,5167,1149,30122,314,2831,9574,44420,176302,390445
 Manipur,2014,2.8,79.85%,22327,159,227,31,128,71,57,2,3,66,244,108,136,115,25,142,85,233,0,30,35,999,2535,5431
 Meghalaya,2014,3,75.48%,22429,124,42,54,54,18,36,91,81,142,418,138,280,2,25,44,15,123,2,34,51,434,1752,3960
 Mizoram,2014,1.1,91.58%,21081,35,21,20,15,0,15,10,6,250,610,0,610,2,30,20,22,80,0,66,0,320,1515,3647
